Date,Price,Open,High,Low,Vol.,Change %
"Jun 23, 2015","1,236.22","1,247.72","1,251.81","1,232.27",,-1.03%
"Jun 22, 2015","1,249.07","1,252.32","1,255.88","1,244.12",,-0.27%
"Jun 19, 2015","1,252.47","1,254.69","1,259.32","1,247.69",,-0.28%
"Jun 18, 2015","1,255.94","1,263.00","1,267.64","1,249.66",,-0.66%
"Jun 17, 2015","1,264.30","1,257.12","1,270.35","1,254.73",,0.48%
"Jun 16, 2015","1,258.30","1,258.75","1,267.65","1,252.88",,-0.13%
"Jun 15, 2015","1,259.93","1,246.63","1,261.00","1,244.85",,0.52%
"Jun 12, 2015","1,253.36","1,252.16","1,257.60","1,244.82",,-0.01%
"Jun 11, 2015","1,253.51","1,256.81","1,259.62","1,245.60",,-0.37%
"Jun 10, 2015","1,258.22","1,264.20","1,269.38","1,250.33",,-0.57%
"Jun 09, 2015","1,265.38","1,262.19","1,270.69","1,254.71",,0.16%
"Jun 08, 2015","1,263.32","1,248.48","1,267.53","1,239.87",,1.09%
"Jun 05, 2015","1,249.70","1,250.28","1,255.67","1,232.72",,-0.15%
"Jun 04, 2015","1,251.57","1,247.48","1,263.53","1,244.96",,0.25%
"Jun 03, 2015","1,248.44","1,234.06","1,250.04","1,227.57",,1.05%
"Jun 02, 2015","1,235.45","1,218.47","1,243.55","1,213.41",,1.29%
"Jun 01, 2015","1,219.73","1,221.65","1,224.16","1,210.30",,-0.27%
"May 29, 2015","1,222.98","1,212.47","1,226.53","1,210.69",,0.74%
"May 28, 2015","1,213.95","1,208.52","1,215.28","1,204.96",,0.34%
"May 27, 2015","1,209.84","1,203.33","1,212.16","1,199.44",,0.43%
"May 26, 2015","1,204.69","1,203.04","1,209.71","1,198.27",,0.04%
"May 25, 2015","1,204.19","1,206.23","1,208.67","1,201.53",,-0.34%
"May 22, 2015","1,208.27","1,213.79","1,222.37","1,203.06",,-0.55%
"May 21, 2015","1,214.95","1,214.88","1,224.59","1,212.11",,-0.10%
"May 20, 2015","1,216.11","1,220.00","1,222.93","1,212.12",,-0.42%
"May 19, 2015","1,221.28","1,232.60","1,236.61","1,214.38",,-1.02%
"May 18, 2015","1,233.89","1,239.99","1,243.29","1,230.68",,-0.58%
